Date,price,zone
5/23/2024 9:00,-33.57865,VEA
5/23/2024 10:00,-3,PGAE
5/23/2024 10:00,-23.07753,SCE
5/23/2024 10:00,-22.84347,SDGE
5/23/2024 10:00,-41.9572,VEA
5/23/2024 11:00,-5,PGAE
5/23/2024 11:00,-24.37874,SCE
5/23/2024 11:00,-24.09601,SDGE
5/23/2024 11:00,-36.17663,VEA
5/23/2024 12:00,-5,PGAE
5/23/2024 12:00,-26.2547,SCE
5/23/2024 12:00,-25.86972,SDGE
5/23/2024 12:00,-32.27255,VEA
5/23/2024 13:00,-5.44824,PGAE
5/23/2024 13:00,-25.63954,SCE
5/23/2024 13:00,-25.40516,SDGE
5/23/2024 13:00,-32.73,VEA
5/23/2024 14:00,-4.83489,PGAE
5/23/2024 14:00,-26.86733,SCE
5/23/2024 14:00,-26.54661,SDGE
5/23/2024 14:00,-29.53,VEA
5/23/2024 15:00,-0.49553,PGAE
5/23/2024 15:00,-24.27753,SCE
5/23/2024 15:00,-23.83995,SDGE
5/23/2024 15:00,-34.65,VEA
5/23/2024 16:00,5,PGAE
5/23/2024 16:00,-21.86397,SCE
5/23/2024 16:00,-21.25483,SDGE
5/23/2024 16:00,-22.18287,VEA
5/23/2024 17:00,10,PGAE
5/23/2024 17:00,-7.7186,SCE
5/23/2024 17:00,-7.27556,SDGE
5/23/2024 17:00,-9.3273,VEA
5/23/2024 18:00,23.22869,PGAE
5/23/2024 18:00,14.06065,SCE
5/23/2024 18:00,14.39302,SDGE
5/23/2024 18:00,13.43384,VEA
5/23/2024 19:00,38.73552,PGAE
5/23/2024 19:00,30.90975,SCE
5/23/2024 19:00,31.02318,SDGE
5/23/2024 19:00,30.35183,VEA
5/23/2024 20:00,42.06975,PGAE
5/23/2024 20:00,37.13303,SCE
5/23/2024 20:00,37.21168,SDGE
5/23/2024 20:00,35.18226,VEA
5/23/2024 21:00,33.73334,PGAE
5/23/2024 21:00,31.29952,SCE
5/23/2024 21:00,31.47711,SDGE
5/23/2024 21:00,29.72708,VEA
5/23/2024 22:00,27.46439,PGAE
5/23/2024 22:00,24.60365,SCE
5/23/2024 22:00,24.46545,SDGE
5/23/2024 22:00,22.938,VEA
