RAVEN_sample_ID,Time,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__cspturbine__production__electricityBoost,Dispatch__cspturbine__production__heat,Dispatch__solar__production__heat,Dispatch__H_Import__production__heat,Dispatch__TES__level__heat,Dispatch__TES__charge__heat,Dispatch__TES__discharge__heat,Dispatch__grid__production__electricity,Dispatch__gridBoost__production__electricityBoost,Cap_DNI,Price,ProbabilityWeight,PointProbability,prefix
0,23,1,2022,1.0,48.6000003442,5.92109766565,-17.9427201989,0.0,-9.99999090909e-09,286.122224579,-18833.9578293,18851.9005496,-48.6000003442,-5.92109766565,0.0,64.09682,1.0,1.0,1
0,24,1,2022,1.0,48.600000344,4.44163753682,-13.4595076873,0.0,-9.99999090909e-09,272.662716882,-18836.1470308,18849.6065385,-48.600000344,-4.44163753682,0.0,64.01535,1.0,1.0,1
0,25,1,2022,1.0,48.6000003386,2.96164482269,-8.97468128089,0.0,-9.99999090909e-09,263.688035591,-18838.2886734,18847.2633546,-48.6000003386,-2.96164482269,0.0,61.65566,1.0,1.0,1
0,26,1,2022,1.0,48.6000003377,1.48647673183,-4.50447494495,0.0,-9.99999090909e-09,259.183560636,-18840.5189507,18845.0234256,-48.6000003377,-1.48647673183,0.0,61.31678,1.0,1.0,1
0,27,1,2022,1.0,48.6000003368,2.96647322411,-8.98931280032,0.0,-9.99999090909e-09,250.194247826,-18838.2165827,18847.2058955,-48.6000003368,-2.96647322411,0.0,60.94829,1.0,1.0,1
0,28,1,2022,1.0,48.6000003416,4.4464716492,-13.4741565127,0.0,-9.99999090909e-09,236.720091303,-18836.0023764,18849.4765329,-48.6000003416,-4.4464716492,0.0,62.95105,1.0,1.0,1
0,29,1,2022,1.0,48.6000003588,5.92647037335,-17.9590011314,0.0,-9.99999090909e-09,218.761090162,-18833.8184579,18851.7774591,-48.6000003588,-5.92647037335,0.0,71.46624,1.0,1.0,1
0,30,1,2022,1.0,48.6000003624,4.93488526801,-14.9541977819,0.0,-9.99999090909e-09,203.80689237,-18834.794777,18849.7489747,-48.6000003624,-4.93488526801,0.0,73.52977,1.0,1.0,1
0,31,1,2022,1.0,48.6000003544,3.45488623447,-10.4693522257,0.0,-9.99999090909e-09,193.337540134,-18832.7715249,18843.2408771,-48.6000003544,-3.45488623447,0.0,69.10411,1.0,1.0,1
0,32,1,2022,1.0,48.600000306,1.97488686962,-5.98450566552,30.2961519872,-9.99999090909e-09,217.649186446,-18835.1114149,18810.7997686,-48.600000306,-1.97488686962,0.704561677,50.51637,1.0,1.0,1
