RAVEN_sample_ID,Time,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__cspturbine__production__electricityBoost,Dispatch__cspturbine__production__heat,Dispatch__solar__production__heat,Dispatch__H_Import__production__heat,Dispatch__TES__level__heat,Dispatch__TES__charge__heat,Dispatch__TES__discharge__heat,Dispatch__grid__production__electricity,Dispatch__gridBoost__production__electricityBoost,Cap_DNI,Price,prefix,ProbabilityWeight,PointProbability
0,23,1,2022,1.0,48.6000003442,5.93476808416,-17.9841457096,0.0,-9.99999090909e-09,313.251652158,-25414.845666,25432.8298118,-48.6000003442,-5.93476808416,0.0,64.09682,1,1.0,1.0
0,24,1,2022,1.0,48.600000344,4.4594610592,-13.5135183612,0.0,-9.99999090909e-09,299.738133787,-25416.8196048,25430.3331231,-48.600000344,-4.4594610592,0.0,64.01535,1,1.0,1.0
0,25,1,2022,1.0,48.6000003386,2.98095665542,-9.03320198612,0.0,-9.99999090909e-09,290.704931791,-25418.7326781,25427.7658801,-48.6000003386,-2.98095665542,0.0,61.65566,1,1.0,1.0
0,26,1,2022,1.0,48.6000003377,2.88081328101,-8.72973721518,0.0,-9.99999090909e-09,281.975194566,-25418.677997,25427.4077342,-48.6000003377,-2.88081328101,0.0,61.31678,1,1.0,1.0
0,27,1,2022,1.0,48.6000003368,4.35943373352,-13.2104052531,0.0,-9.99999090909e-09,268.764789302,-25416.7246985,25429.9351038,-48.6000003368,-4.35943373352,0.0,60.94829,1,1.0,1.0
0,28,1,2022,1.0,48.6000003416,5.83943125871,-17.6952462385,0.0,-9.99999090909e-09,251.069543054,-25414.5378829,25432.2331292,-48.6000003416,-5.83943125871,0.0,62.95105,1,1.0,1.0
0,29,1,2022,1.0,48.6000003588,7.31942966023,-22.1800898795,0.0,-9.99999090909e-09,228.889453164,-25411.89601,25434.0760999,-48.6000003588,-7.31942966023,0.0,71.46624,1,1.0,1.0
0,30,1,2022,1.0,48.6000003624,5.83944478463,-17.6952872261,0.0,-9.99999090909e-09,211.194165928,-25413.8058934,25431.5011806,-48.6000003624,-5.83944478463,0.0,73.52977,1,1.0,1.0
0,31,1,2022,1.0,48.6000003544,4.35944572012,-13.2104415761,0.0,-9.99999090909e-09,197.983724342,-25415.8987456,25429.1091872,-48.6000003544,-4.35944572012,0.0,69.10411,1,1.0,1.0
0,32,1,2022,1.0,48.600000306,2.8794463504,-8.72559500122,33.818960408,-9.99999090909e-09,223.077089739,-25431.289432,25406.1960666,-48.600000306,-2.8794463504,0.704561677,50.51637,1,1.0,1.0
0,33,1,2022,1.0,48.6000002453,1.4000003237,-4.24242522332,39.3514910077,-9.99999090909e-09,258.186155513,-25436.9070242,25401.7979584,-48.6000002453,-1.4000003237,0.81982273,37.76998,1,1.0,1.0
0,34,1,2022,1.0,48.6000001918,1.40000025455,-4.2424250138,39.8909309015,-9.99999090909e-09,293.834661391,-25437.6020223,25401.9535165,-48.6000001918,-1.40000025455,0.831061061,30.89922,1,1.0,1.0
0,35,1,2022,1.0,48.6000001394,1.40000022166,-4.24242491413,38.4352661832,-9.99999090909e-09,328.02750265,-25437.5066841,25403.3138428,-48.6000001394,-1.40000022166,0.800734713,26.22508,1,1.0,1.0
0,36,1,2022,1.0,48.6000001175,1.40000021226,-4.24242488563,36.8922862961,-9.99999090909e-09,360.677364051,-25437.5375888,25404.8877274,-48.6000001175,-1.40000021226,0.768589299,24.67197,1,1.0,1.0
0,37,1,2022,1.0,48.6000001279,1.40000021606,-4.24242489715,37.541129903,-9.99999090909e-09,393.976069046,-25440.4420827,25407.1433777,-48.6000001279,-1.40000021606,0.782106874,25.38616,1,1.0,1.0
0,38,1,2022,1.0,48.6000001772,1.47999883329,-4.48484494937,38.6971692108,-9.99999090909e-09,428.188393298,-25439.1800055,25404.9676812,-48.6000001772,-1.47999883329,0.806191026,29.43688,1,1.0,1.0
0,39,1,2022,1.0,48.6000003073,2.95999859212,-8.96969270339,36.7628977838,-9.99999090909e-09,455.981598368,-25425.4631312,25397.6699261,-48.6000003073,-2.95999859212,0.765893705,50.86402,1,1.0,1.0
0,40,1,2022,1.0,48.6000003635,4.43999842383,-13.4545406783,27.4360675149,-9.99999090909e-09,469.963125195,-25422.1416084,25408.1600816,-48.6000003635,-4.43999842383,0.571584743,74.19474,1,1.0,1.0
0,41,1,2022,1.0,48.6000003834,5.91999821423,-17.939388528,0.0,-9.99999090909e-09,452.023736657,-25413.3130665,25431.2524551,-48.6000003834,-5.91999821423,0.0,88.59984,1,1.0,1.0
