RAVEN_sample_ID,Time,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__cspturbine__production__electricityBoost,Dispatch__cspturbine__production__heat,Dispatch__solar__production__heat,Dispatch__H_Import__production__heat,Dispatch__TES__level__heat,Dispatch__TES__charge__heat,Dispatch__TES__discharge__heat,Dispatch__grid__production__electricity,Dispatch__gridBoost__production__electricityBoost,Cap_DNI,Price,ProbabilityWeight,prefix,PointProbability
0,24,1,2022,1.0,48.600000344,4.44304769346,-13.4637808893,0.0,-9.99999090909e-09,287.088687695,-99993.2252217,100006.689003,-48.600000344,-4.44304769346,0.0,64.01535,1.0,1,1.0
0,25,1,2022,1.0,48.6000003386,2.96338921064,-8.97996730496,0.0,-9.99999090909e-09,278.10872038,-99995.4815543,100004.461522,-48.6000003386,-2.96338921064,0.0,61.65566,1.0,1,1.0
0,26,1,2022,1.0,48.6000003377,1.61040111735,-4.88000338591,0.0,-9.99999090909e-09,273.228716984,-99997.52564,100002.405643,-48.6000003377,-1.61040111735,0.0,61.31678,1.0,1,1.0
0,27,1,2022,1.0,48.6000003368,3.09026687173,-9.36444506586,0.0,-9.99999090909e-09,263.864271909,-99995.2524821,100004.616927,-48.6000003368,-3.09026687173,0.0,60.94829,1.0,1,1.0
0,28,1,2022,1.0,48.6000003416,4.57026454909,-13.8492865124,0.0,-9.99999090909e-09,250.014985386,-99992.9141563,100006.763443,-48.6000003416,-4.57026454909,0.0,62.95105,1.0,1,1.0
0,29,1,2022,1.0,48.6000003588,6.05026305966,-18.3341304838,0.0,-9.99999090909e-09,231.680854892,-99990.6921291,100009.02626,-48.6000003588,-6.05026305966,0.0,71.46624,1.0,1,1.0
0,30,1,2022,1.0,48.6000003624,5.8295922259,-17.6654309876,0.0,-9.99999090909e-09,214.015423895,-99991.1513923,100008.816823,-48.6000003624,-5.8295922259,0.0,73.52977,1.0,1,1.0
0,31,1,2022,1.0,48.6000003544,4.34959319892,-13.1805854513,0.0,-9.99999090909e-09,200.834838434,-99993.4077117,100006.588297,-48.6000003544,-4.34959319892,0.0,69.10411,1.0,1,1.0
0,32,1,2022,1.0,48.600000306,2.86959383735,-8.69573890106,31.7052753554,-9.99999090909e-09,223.844374878,-100011.381223,99988.3716868,-48.600000306,-2.86959383735,0.704561677,50.51637,1.0,1,1.0
0,33,1,2022,1.0,48.6000002453,1.40000032231,-4.24242521914,36.8920227937,-9.99999090909e-09,256.493972442,-100015.216448,99982.56685,-48.6000002453,-1.40000032231,0.81982273,37.76998,1.0,1,1.0
0,34,1,2022,1.0,48.6000001918,1.40000025305,-4.24242500925,37.3977476948,-9.99999090909e-09,289.649295118,-100016.380346,99983.2250232,-48.6000001918,-1.40000025305,0.831061061,30.89922,1.0,1,1.0
0,35,1,2022,1.0,48.6000001394,1.40000021984,-4.24242490861,36.0330620222,-9.99999090909e-09,321.439932222,-100015.71162,99983.9209824,-48.6000001394,-1.40000021984,0.800734713,26.22508,1.0,1,1.0
0,36,1,2022,1.0,48.6000001175,1.40000020997,-4.2424248787,34.5865183787,-9.99999090909e-09,351.784025712,-99999.7047263,99969.3606328,-48.6000001175,-1.40000020997,0.768589299,24.67197,1.0,1,1.0
0,37,1,2022,1.0,48.6000001279,1.40000021312,-4.24242488826,35.1948092609,-9.99999090909e-09,382.736410074,-100000.294974,99969.3425898,-48.6000001279,-1.40000021312,0.782106874,25.38616,1.0,1,1.0
0,38,1,2022,1.0,48.6000001772,1.47982710576,-4.48432456291,36.2785961129,-9.99999090909e-09,414.530681614,-100000.066953,99968.2726815,-48.6000001772,-1.47982710576,0.806191026,29.43688,1.0,1,1.0
0,39,1,2022,1.0,48.6000003073,2.95982686964,-8.96917233223,34.4652166505,-9.99999090909e-09,440.026725922,-100012.629492,99987.1334477,-48.6000003073,-2.95982686964,0.765893705,50.86402,1.0,1,1.0
0,40,1,2022,1.0,48.6000003635,4.43982670667,-13.4540203232,25.7213132735,-9.99999090909e-09,452.294018863,-100006.100757,99993.8334641,-48.6000003635,-4.43982670667,0.571584743,74.19474,1.0,1,1.0
0,41,1,2022,1.0,48.6000003834,5.91982650902,-17.9388682092,0.0,-9.99999090909e-09,434.355150643,-99990.9977131,100008.936581,-48.6000003834,-5.91982650902,0.0,88.59984,1.0,1,1.0
0,42,1,2022,1.0,48.6000003803,7.3998260708,-22.4237153661,0.0,-9.99999090909e-09,411.931435267,-99988.7347332,100011.158449,-48.6000003803,-7.3998260708,0.0,85.9904,1.0,1,1.0
0,43,1,2022,1.0,48.6000003786,7.39999959444,-22.4242411953,0.0,-9.99999090909e-09,389.507194062,-99988.731555,100011.155796,-48.6000003786,-7.39999959444,0.0,84.67528,1.0,1,1.0
0,44,1,2022,1.0,48.6000003737,7.39999947868,-22.4242408445,0.0,-9.99999090909e-09,367.082953208,-99988.7314204,100011.155661,-48.6000003737,-7.39999947868,0.0,80.94031,1.0,1,1.0
0,45,1,2022,1.0,48.6000003638,7.39999903902,-22.4242395122,0.0,-9.99999090909e-09,344.658713685,-99988.090625,100010.514865,-48.6000003638,-7.39999903902,0.0,74.39512,1.0,1,1.0
0,46,1,2022,1.0,48.6000003543,7.39999753869,-22.4242349657,0.0,-9.99999090909e-09,322.23447871,-99988.6942264,100011.118461,-48.6000003543,-7.39999753869,0.0,69.03863,1.0,1,1.0
0,47,1,2022,1.0,48.6000003493,7.39823496597,-22.4188938363,0.0,-9.99999090909e-09,299.815584863,-99988.7343293,100011.153223,-48.6000003493,-7.39823496597,0.0,66.49562,1.0,1,1.0
0,48,1,2022,1.0,48.6000003459,7.39369545445,-22.4051377408,0.0,-9.99999090909e-09,277.410447113,-99988.8504593,100011.255597,-48.6000003459,-7.39369545445,0.0,64.8736,1.0,1,1.0
0,49,1,2022,1.0,48.6000003443,5.93212133579,-17.97612526,0.0,-9.99999090909e-09,259.434321843,-99991.0051818,100008.981307,-48.6000003443,-5.93212133579,0.0,64.17055,1.0,1,1.0
0,50,1,2022,1.0,48.6000003435,4.47073861458,-13.5476927715,0.0,-9.99999090909e-09,245.886629061,-99993.1796513,100006.727344,-48.6000003435,-4.47073861458,0.0,63.81596,1.0,1,1.0
0,51,1,2022,1.0,48.6000003423,5.86602120359,-17.7758218291,0.0,-9.99999090909e-09,228.110807222,-99991.177331,100008.953153,-48.6000003423,-5.86602120359,0.0,63.26414,1.0,1,1.0
0,52,1,2022,1.0,48.6000003468,7.34242386878,-22.2497692993,0.0,-9.99999090909e-09,205.861037913,-99988.9763953,100011.226165,-48.6000003468,-7.34242386878,0.0,65.29651,1.0,1,1.0
0,53,1,2022,1.0,48.6000003662,7.39999932591,-22.4242403816,0.0,-9.99999090909e-09,183.436797521,-99988.0901894,100010.51443,-48.6000003662,-7.39999932591,0.0,75.91069,1.0,1,1.0
0,54,1,2022,1.0,48.6000003955,7.39999982742,-22.4242419013,0.0,-9.99999090909e-09,161.01255561,-99988.095745,100010.519987,-48.6000003955,-7.39999982742,0.0,100.42028,1.0,1,1.0
0,55,1,2022,1.0,48.6000003915,7.39999953837,-22.4242410254,0.0,-9.99999090909e-09,138.588314575,-99988.1029566,100010.527198,-48.6000003915,-7.39999953837,0.0,96.24013,1.0,1,1.0
0,56,1,2022,1.0,48.6000003589,5.92000009075,-17.9393942144,7.05900302281,-9.99999090909e-09,127.707923373,-99994.5493871,100005.429778,-48.6000003589,-5.92000009075,0.156866742,71.53217,1.0,1,1.0
