RAVEN_sample_ID,Time,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__cspturbine__production__electricityBoost,Dispatch__cspturbine__production__heat,Dispatch__solar__production__heat,Dispatch__H_Import__production__heat,Dispatch__TES__level__heat,Dispatch__TES__charge__heat,Dispatch__TES__discharge__heat,Dispatch__grid__production__electricity,Dispatch__gridBoost__production__electricityBoost,Cap_DNI,Price,PointProbability,prefix,ProbabilityWeight
0,23,1,2022,1.0,48.6000003442,4.44566719704,-13.4717187789,0.0,-9.99999090909e-09,273.400287092,-70346.8636302,70360.335349,-48.6000003442,-4.44566719704,0.0,64.09682,1.0,1,1.0
0,24,1,2022,1.0,48.600000344,2.96566872544,-8.98687492557,0.0,-9.99999090909e-09,264.413412156,-70348.148041,70357.1349159,-48.600000344,-2.96566872544,0.0,64.01535,1.0,1,1.0
0,25,1,2022,1.0,48.6000003386,1.48567095391,-4.50203319368,0.0,-9.99999090909e-09,259.911378952,-70349.4053773,70353.9074105,-48.6000003386,-1.48567095391,0.0,61.65566,1.0,1,1.0
0,26,1,2022,1.0,48.6000003377,1.40000214741,-4.24243074974,0.0,-9.99999090909e-09,255.668948193,-70349.4204052,70353.662836,-48.6000003377,-1.40000214741,0.0,61.31678,1.0,1,1.0
0,27,1,2022,1.0,48.6000003368,1.40015560997,-4.24289578778,0.0,-9.99999090909e-09,251.426052395,-70349.3851167,70353.6280125,-48.6000003368,-1.40015560997,0.0,60.94829,1.0,1,1.0
0,28,1,2022,1.0,48.6000003416,2.88015345977,-8.72773775689,0.0,-9.99999090909e-09,242.698314628,-70347.9594927,70356.6872305,-48.6000003416,-2.88015345977,0.0,62.95105,1.0,1,1.0
0,29,1,2022,1.0,48.6000003588,4.3601520487,-13.2125819657,0.0,-9.99999090909e-09,229.485732652,-70346.4438869,70359.6564689,-48.6000003588,-4.3601520487,0.0,71.46624,1.0,1,1.0
0,30,1,2022,1.0,48.6000003624,4.36000133244,-13.2121252498,0.0,-9.99999090909e-09,216.273607392,-70346.4106525,70359.6227778,-48.6000003624,-4.36000133244,0.0,73.52977,1.0,1,1.0
0,31,1,2022,1.0,48.6000003544,2.88000242181,-8.7272800661,0.0,-9.99999090909e-09,207.546327316,-70347.8787207,70356.6060008,-48.6000003544,-2.88000242181,0.0,69.10411,1.0,1,1.0
0,32,1,2022,1.0,48.600000306,1.40000316423,-4.242433831,28.1824669405,-9.99999090909e-09,231.486360416,-70363.2246855,70339.2846524,-48.600000306,-1.40000316423,0.704561677,50.51637,1.0,1,1.0
